Date,Gender,Annual Income,Model,Engine,Transmission,Color,Price ($),Body Style,Company
2023-08-23,Female,930000,Outback,DoubleÂ Overhead Camshaft,Auto,Red,57000,SUV,Subaru
2022-12-27,Female,700000,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Porsche
2023-12-01,Male,13500,SLK230,Overhead Camshaft,Manual,Pale White,71001,Hatchback,Mercedes-B
2023-11-04,Female,442500,LX470,DoubleÂ Overhead Camshaft,Auto,Black,22500,SUV,Lexus
2023-11-12,Female,450000,Town car,DoubleÂ Overhead Camshaft,Auto,Pale White,18001,Hatchback,Lincoln
2022-11-20,Male,1670000,Diamante,Overhead Camshaft,Manual,Red,12000,Hatchback,Mitsubishi
2022-04-27,Male,525000,Montero Sport,Overhead Camshaft,Manual,Red,29000,Hatchback,Mitsubishi
2023-11-14,Male,485000,Continental,Overhead Camshaft,Manual,Black,42000,Passenger,Lincoln
2022-05-29,Male,645000,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,Hatchback,Acura
2023-11-03,Male,900000,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,SUV,Subaru
2022-09-25,Female,1600000,Eclipse,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hardtop,Mitsubishi
2022-12-17,Male,13500,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Sedan,Ford
2022-12-04,Male,820000,Villager,Overhead Camshaft,Manual,Pale White,16000,Passenger,Mercury
2023-02-01,Male,773000,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Pontiac
2022-03-05,Male,1630000,Silhouette,Overhead Camshaft,Manual,Pale White,26000,Sedan,Oldsmobile
2022-05-21,Male,1505000,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,19500,Sedan,Ford
2023-05-12,Male,13500,SLK,Overhead Camshaft,Manual,Pale White,17001,Passenger,Mercedes-B
2022-10-23,Male,440000,Camry,DoubleÂ Overhead Camshaft,Auto,Red,31000,Hatchback,Toyota
2023-04-23,Female,13500,Town car,DoubleÂ Overhead Camshaft,Auto,Black,26001,Hatchback,Lincoln
2022-09-27,Female,1250000,Frontier,Overhead Camshaft,Manual,Black,53001,Hatchback,Nissan
2023-08-04,Male,13500,Celica,Overhead Camshaft,Manual,Pale White,14001,SUV,Toyota
2022-08-13,Male,1050000,Lumina,Overhead Camshaft,Manual,Red,12000,Passenger,Chevrolet
2023-02-15,Male,1875000,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19501,Passenger,Buick
2023-08-26,Male,1210000,Diamante,Overhead Camshaft,Manual,Red,19000,Hatchback,Mitsubishi
2022-07-25,Female,928000,Civic,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,Hatchback,Honda
2023-10-01,Male,455000,Ram Pickup,Overhead Camshaft,Manual,Pale White,20001,Hardtop,Dodge
2023-10-15,Male,1235000,SLK,DoubleÂ Overhead Camshaft,Auto,Pale White,46501,Passenger,Mercedes-B
2023-08-12,Female,1190000,S70,Overhead Camshaft,Manual,Red,21001,SUV,Volvo
2023-04-05,Female,610000,Concorde,DoubleÂ Overhead Camshaft,Auto,Red,19000,SUV,Chrysler
2023-09-25,Male,13500,Corolla,Overhead Camshaft,Manual,Pale White,22001,Passenger,Toyota
2023-05-20,Female,610000,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,SUV,Mercury
2023-12-23,Male,1100000,Silhouette,Overhead Camshaft,Manual,Red,34000,Sedan,Oldsmobile
2023-05-14,Male,575000,Concorde,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hardtop,Chrysler
2023-10-28,Female,480000,Diamante,Overhead Camshaft,Manual,Pale White,19000,Hatchback,Mitsubishi
2023-04-08,Male,13500,Prowler,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Hatchback,Plymouth
2023-05-23,Male,2600000,4Runner,Overhead Camshaft,Manual,Black,25000,Sedan,Toyota
2023-09-19,Female,13500,DeVille,DoubleÂ Overhead Camshaft,Auto,Red,22001,SUV,Cadillac
2022-11-22,Male,13500,SLK230,DoubleÂ Overhead Camshaft,Auto,Black,33001,Hatchback,Mercedes-B
